code_nat,text_nat,code_plus,text_plus,country
BCDE,Behandling med øjenprotese,R5R110,"Assesment of aid need and choice, testing, adjustment and delivery of device with demonstration of use",den
BCDZ0,Måltagning til øjenprotese,R5R110,"Assesment of aid need and choice, testing, adjustment and delivery of device with demonstration of use",den
BCDZ1,Tilpasning af øjenprotese,R5R110,"Assesment of aid need and choice, testing, adjustment and delivery of device with demonstration of use",den
BCFL0,Ortoptisk behandling,R5R110,"Assesment of aid need and choice, testing, adjustment and delivery of device with demonstration of use",den
BCHY01,Lokalbehandling af virusinfektion i øje,WVXX00,Other intervention for medication,den
BCHY1,Lokalbehandling af øje med antiinflammatorisk middel,WVXX00,Other intervention for medication,den
BCHY2,Lokalbehandling af øje med antiallergisk middel,WVXX00,Other intervention for medication,den
BCHY3,Medikamentel glaukombehandling,WVXX00,Other intervention for medication,den
BCHY8A,Oftalmologisk behandling med VEGF-hæmmer (Vascular endothelial growth factor-hæmmer),WVXX00,Other intervention for medication,den
BCKA01,Instruktion af pårørende i drypning af øje,WZZ999,Other minor procedure,den
BCLA,Øjenskylning,CXXX00,Flushing of eye,den
BCLB0,Rensning af kontaktlinser,R5R110,"Assesment of aid need and choice, testing, adjustment and delivery of device with demonstration of use",den
BCLB1,Rensning af øjenprotese,R5R110,"Assesment of aid need and choice, testing, adjustment and delivery of device with demonstration of use",den
BCLF0,Pålægning af øjenforbinding,UCPA01,Preparation of psychiatric plan of care,den
BCLF1,Fjernelse af øjenforbinding,CXX002,Removeal of binding from eye,den
BCVA,Generel pleje ved lidelse i øje og øjenomgivelser,CXXX99,Minor procedure on eye,den
BCVB,Speciel pleje ved lidelse i øje og øjenomgivelser,CXXX99,Minor procedure on eye,den
BCXA0,Kompenserende handling mhp. anvendelse af kontaktlinser,R5R110,"Assesment of aid need and choice, testing, adjustment and delivery of device with demonstration of use",den
BCXA1,Kompenserende handling mhp. anvendelse af øjenprotese,R5R110,"Assesment of aid need and choice, testing, adjustment and delivery of device with demonstration of use",den
BCXB,Drypning af øje,ZXXX07,Ocular,den
BCXC1,Injektionsbehandling af øjenmuskler med botulinum,AEX410,Botulinus toxin therapy,den
BCXY0,Påsætning af øjenklap,CXX004,Treatment with eye patch,den
BDDA0,Behandling med kanalhøreapparat,DAXA00,Adjustment of air conduction hearing aid,den
BDDA1,Behandling med conchahøreapparat,DAXA00,Adjustment of air conduction hearing aid,den
BDDA2,Behandling med ørehænger,WZZ999,Other minor procedure,den
BDDA3,Behandling med lommehøreapparat,DAXA00,Adjustment of air conduction hearing aid,den
BDDB0,"Høreapparatbehandling, BC (bone conductor)",DAXA02,Adjustment of bone conduction hearing aid,den
BDDB1,"Høreapparatbehandling, cross (contra routing of signal)",DAXA00,Adjustment of air conduction hearing aid,den
BDDB2,"Høreapparatbehandling, bicross (bilateral routing of signal)",DAXA00,Adjustment of air conduction hearing aid,den
BDDC,Udlevering af høreapparat,DAXA08,Control and correction of hearing aid,den
BDDD51,Fremstilling af intern øreprop,DAXB00,"Production, adjustment and correction of ear plug",den
BDDD58,Aftryk til øreprop,DAXB00,"Production, adjustment and correction of ear plug",den
BDDD61,Tilpasning af høreapparat i frit felt,DAXA04,Adjustment of hearing aid in open field,den
BDDD62,Indstilling og justering af cochlear implantat,DFSE00,Insertion of cochlear implant,den
BDDD81,Reparation af øreprop,DAXB00,"Production, adjustment and correction of ear plug",den
BDDD82,Service i forbindelse med øreprop,DAXB00,"Production, adjustment and correction of ear plug",den
BDHY01,Lokalbehandling med glukocorticosteroid (næse),ZXXX06,Intranasal,den
BDHY1,Medikamentel behandling af lidelse i ydre øre,ZXXX05,To ear,den
BDKA0,Instruktion i anvendelse af kanalhøreapparat,DAXA08,Control and correction of hearing aid,den
BDKA1,Instruktion i anvendelse af conchahøreapparat,DAXA08,Control and correction of hearing aid,den
BDKA2,Instruktion i anvendelse af ørehænger,WZZ999,Other minor procedure,den
BDKA3,Instruktion i anvendelse af lommehøreapparat,DAXA08,Control and correction of hearing aid,den
BDKC0,Vejledning vedrørende forebyggende behandling af allergisk rhinitis,WZZ999,Other minor procedure,den
BDLA,Skiftning med relation til otologisk behandling,WZZ999,Other minor procedure,den
BDLF0,Rensning af høreapparat,DAXA08,Control and correction of hearing aid,den
BDLF11,Fjernelse af ørevoks ved skylning,DBXX90,Removal wax from ear,den
BDLF2,Oprensning af radikalkavitet,DAXC00,Aftercare of cavity of radical ear operation,den
BDLF6,Mechefjernelse fra øregang,DBXX90,Removal wax from ear,den
BDUA10,Påsætning af kunstigt fremstillet næse,R5R110,"Assesment of aid need and choice, testing, adjustment and delivery of device with demonstration of use",den
BDUA11,Påsætning af kunstigt fremstillet øre,R5R110,"Assesment of aid need and choice, testing, adjustment and delivery of device with demonstration of use",den
BDUA12,Påsætning af kunstigt fremstillet næse og øje,R5R110,"Assesment of aid need and choice, testing, adjustment and delivery of device with demonstration of use",den
BDUA13,Påsætning af kunstigt fremstillet mellemansigt,R5R110,"Assesment of aid need and choice, testing, adjustment and delivery of device with demonstration of use",den
BDVA,"Generel pleje ved lidelse i øre, næse, hals og strube",DXXX00,"Other minor procedure of ear, nose and larynx",den
BDVB,"Speciel pleje ved lidelse i øre, næse, hals og strube",DXXX00,"Other minor procedure of ear, nose and larynx",den
BDXA3,Sugebehandling a.m. Proetz,DAXD00,Other fysical treatment of ear,den
