procprop,varval_text_comb,extens,nat_ver
13S01,"Pelvic evisceration, radical hysterctomy or radical vulvectomy",True,est/swe/lat/ice/den/fin/nor
13S02,Uterine or adnexal procedure including intervention on embryo or ICSI,False,est/swe/lat/ice/den/fin/nor
13S03,Laparoscopy or incisional tubal interruption,False,est/swe/lat/ice/den/fin/nor
13S04,"Vagina, cervix or vulva procedure",False,est/swe/lat/ice/den/fin/nor
13S05,Female reproductive system reconstructive procedure,False,est/swe/lat/ice/den/fin/nor
13S06,"Dilation and curettage, conization or radio-implant",False,est/swe/lat/ice/den/fin/nor
13S07,Endoscopic tubal interruption,False,est/swe/lat/ice/den/fin/nor
13S08,Other female reproductive system OR procedure,False,est/swe/lat/ice/den/fin/nor
13S09,Intervention on embryo or ICSI,False,swe/ice/fin
13S20,Laparatomy,False,fin
13S21,Excision or reconstructive operation on female reproductive organs,False,swe/ice/fin
13S22,Other uterine or adnexal procedure,False,swe/ice/fin
14D01,"Diagnostic procedure of head, neck and central nervous system during prenancy",False,fin
14D02,"Demanding diagnostic procedure of head, neck and central nervous system during pregnancy",False,fin
14D11,Diagnostic procedure of endocrine organs during pregnancy,False,fin
14D51,Obstetric diagnostic imaging procedure,False,ice/fin/nor
14D71,Diagnostic procedure of breast during pregnancy,False,fin
14D72,Demanding diagnostic procedure of breast during pregnancy,False,fin
14E11,Gastroscopy in pregnancy,False,est/swe/lat/ice/den/fin/nor
14E19,Puncture of fetus or placenta,False,est/swe/lat/ice/den/fin/nor
14O03,Medical abortion,False,fin/nor
14S01,Cesarean section,False,est/swe/lat/ice/den/fin/nor
14S02,Sterilization or postpartum dilation and curettage,False,est/swe/lat/ice/den/fin/nor
14S03,Other obstetric OR procedure,False,est/swe/lat/ice/den/fin/nor
14S04,Procedure of normal delivery,False,est/swe/lat/ice/den/fin/nor
14S05,OR procedure in abortion,False,est/swe/lat/ice/den/fin/nor
14S11,Procedures for ectopic pregnancy,False,est/swe/lat/ice/den/fin/nor
14S90,Significant operation for obstetrical patient,False,est/swe/lat/ice/den/fin/nor
15S01,Major neonatal operation,False,est/swe/lat/ice/den/fin/nor
15S02,Neonatal intensive care procedure,False,est/swe/lat/ice/den/fin/nor
15S03,Minor neonatal procedure,False,est/swe/lat/ice/den/fin/nor
16D31,"Diagnostic procedure of abdominal, retroperitoneal and pelvic organs in MDC 16",False,fin
16D62,Demanding diagnostic procedure of peripheral vascular system in MDC 16,False,fin
16S01,Splenectomy,True,est/swe/lat/ice/den/fin/nor
16S02,Other OR procedure of the blood forming or immunological organs,False,est/swe/lat/ice/den/fin/nor
17E01,Endoscopy of respiratory organs for myeloproliferative disease,False,est/swe/lat/ice/den/fin/nor
17E02,Tracheo-bronchial endoscopy for myeloproliferative problems,False,est/swe/lat/ice/den/fin/nor
17E04,Therapeutic enteroscpy for myeloproliferative disease,False,est/swe/lat/ice/den/fin/nor
17E06,Other therapeutic endoscopy of upper gastrointestinal tract for myeloproliferative diseases,False,est/swe/lat/ice/den/fin/nor
17E07,Therapeutic rectoscopy for myeloproliferative disease,False,est/swe/lat/ice/den/fin/nor
17E09,Enteroscopy for myeloproliferative disease,False,est/swe/lat/ice/den/fin/nor
17E10,Colonoscopy for myeloproliferative disease,False,est/swe/lat/ice/den/fin/nor
17E11,Endoscopy of upper respiratory tract for myeloproliferative disease,False,est/swe/lat/ice/den/fin/nor
17E12,Rectosigmoideoscopy for myeloproliferative disease,False,est/swe/lat/ice/den/fin/nor
17E13,Endoscopic insertion of stent to biliary or pancreas,False,est/swe/lat/ice/den/fin/nor
17E14,Other therapeutic endoscopy of biliary tract,False,est/swe/lat/ice/den/fin/nor
17E15,Diagnostic endoscopy of biliary tract,False,est/swe/lat/ice/den/fin/nor
17E16,Therapeutic endoscopy of urinary tract,False,est/swe/lat/ice/den/fin/nor
17E17,Diagnostic endoscopy of upper urinary tract,False,est/swe/lat/ice/den/fin/nor
17E18,Endoscopy of lower urinary tract,False,est/swe/lat/ice/den/fin/nor
17E19,Endoscopy of female genital tract,False,est/swe/lat/ice/den/fin/nor
17S01,Major OR procedure in myeloproliferative diseases and disorders,False,est/swe/lat/ice/den/fin/nor
17S03,Allogenic stem cell transplantation,False,swe/lat/ice/den/fin/nor
17S04,Other stem cell transplantation,False,swe/lat/ice/den/fin/nor
19V14,Ketamine therapy,False,fin
19V15,Psychiatric neuromodulation treatment,False,fin
21D01,"Diagnostic procedure of head, neck and central nervous system for trauma",False,fin
21D02,"Demanding diagnostic procedure of head, neck and central nervous system for trauma",False,fin
21D21,"Diagnostic procedure of heart, large vessels and other intrathoracic organs for trauma",False,fin
21D22,"Demanding diagnostic procedure of heart, large vessels and other intratho",False,fin
21D31,"Diagnostic procedure of abdominal, retroperitoneal and pelvic organs for trauma",False,fin
21D32,"Demanding diagnostic procedure of abdominal, retroperitoneal and pelvic organs for trauma",False,fin
21D41,Diagnostic procedure of musculoskeletal system for trauma,False,fin
21D42,Demanding diagnostic procedure of musculoskeletal system for trauma,False,fin
21E02,Tracheo-bronchial endoscopy for foreign body removal,False,est/swe/lat/ice/den/fin/nor
21E03,Esophagoscopy with insertion of stent for trauma,False,est/swe/lat/ice/den/fin/nor
21E06,Therapeutic endoscopy of upper gastrointestinal tract for trauma,False,est/swe/lat/ice/den/fin/nor
